dc_id,region_id,carrier_service_id,zip3,allowed_state_count,allowed_states,has_coverage
42,2,6,122,26,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TX|VA|VT|WI|WV,True
42,2,7,122,0,,False
42,2,8,122,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
42,2,9,122,18,CT|FL|IL|IN|KY|MA|MD|MI|NC|NH|NJ|NY|OH|PA|SC|VA|WA|WI,True
42,2,10,122,4,DC|IN|NJ|NY,True
42,2,11,122,15,AZ|DE|FL|GA|IL|MA|MD|ME|MI|NC|NJ|NY|PA|RI|TX,True
42,2,12,122,1,NY,True
42,2,13,122,0,,False
42,2,14,122,0,,False
42,2,15,122,0,,False
42,2,16,122,0,,False
42,2,17,122,0,,False
42,2,18,122,0,,False
43,2,1,021,0,,False
43,2,2,021,0,,False
43,2,3,021,0,,False
43,2,4,021,1,MA,True
43,2,5,021,10,CT|FL|IL|MA|MN|NC|NH|NJ|NY|SC,True
43,2,6,021,25,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TX|VA|VT|WV,True
43,2,7,021,0,,False
43,2,8,021,7,AZ|CA|CO|ID|NV|OR|UT,True
43,2,9,021,30,CA|CT|DC|DE|FL|GA|IA|IL|IN|KS|KY|MA|MD|ME|MI|MN|MO|NC|NH|NJ|NY|OH|OK|PA|RI|SC|TX|UT|VA|WI,True
43,2,10,021,6,CT|DC|IL|IN|MA|NY,True
43,2,11,021,17,DE|FL|GA|IL|MA|MD|ME|MI|NC|NJ|NY|OH|PA|RI|SC|TX|VA,True
43,2,12,021,1,MA,True
43,2,13,021,0,,False
43,2,14,021,0,,False
43,2,15,021,0,,False
43,2,16,021,0,,False
43,2,17,021,0,,False
43,2,18,021,0,,False
44,4,1,951,0,,False
44,4,2,951,0,,False
44,4,3,951,0,,False
44,4,4,951,2,CA|WA,True
44,4,5,951,16,AL|AZ|CA|CT|GA|IL|MA|NC|NH|NJ|NM|NY|OR|TX|UT|WA,True
44,4,6,951,23,AL|AR|CT|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TX|VA|WV,True
44,4,7,951,0,,False
44,4,8,951,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
44,4,9,951,30,AZ|CA|CO|CT|DC|DE|FL|GA|IL|IN|KS|KY|MA|MD|MI|MN|NC|NJ|NM|NV|NY|OH|OR|PA|SC|TX|UT|VA|WA|WI,True
44,4,10,951,2,CA|TX,True
44,4,11,951,21,AR|AZ|CA|FL|GA|HI|IL|LA|MA|MD|MN|MO|NC|NY|OH|OR|PA|SC|TX|UT|WA,True
44,4,12,951,5,CA|NV|PA|UT|WA,True
44,4,13,951,0,,False
44,4,14,951,0,,False
44,4,15,951,0,,False
44,4,16,951,0,,False
44,4,17,951,0,,False
44,4,18,951,0,,False
45,4,1,937,0,,False
45,4,2,937,0,,False
45,4,3,937,0,,False
45,4,4,937,2,CA|WA,True
45,4,5,937,11,AZ|CA|IL|LA|MA|NM|NY|OR|TX|UT|WA,True
45,4,6,937,22,AR|CT|DC|DE|FL|GA|IL|IN|KY|LA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|WI,True
45,4,7,937,0,,False
45,4,8,937,7,AZ|CA|ID|NV|OR|UT|WA,True
